Change Physical Footprint: Designator=A1 Old Footprint=2450AT42E0100 New Footprint=2450AT42E0100
Change Physical Footprint: Designator=B? Old Footprint=EC382704P-T New Footprint=EC382704P-T
Change Physical Footprint: Designator=C1 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=C9 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=C16 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=C20 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=C21 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=C27 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=IC4 Old Footprint=TSSOP5 New Footprint=TSSOP5
Change Physical Footprint: Designator=R10 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R12 Old Footprint=R0402 New Footprint=R0402
